Country or territory,Sale,Possession,Internet pornography,Penalty,Notes
Sri Lanka Sri Lanka,Illegal,Restricted,Blocked,"Article 285. (Sale, &c. of obscene books .&c.)  # Whoever sells or distributes, imports, or prints for sale or hire, or wilfully exhibits to public view, any obscene book, pamphlet, paper, drawing, painting, photograph, representation, or figure, or attempts or offers so to do, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both. Article 286. (Having in possession obscene books, &c for sale or public exhibition. )  #  Whoever has in his possession any such obscene book or other thing as is mentioned in the last preceding section for the purpose of sale, distribution, or public exhibition, shall be punished with imprisonment of either description for a term which may extend to three months. Or with fine, or with both.",
Sweden Sweden,Legal,Legal,Legal,,
Switzerland Switzerland,Legal,Legal,Legal,,
Sudan Sudan,Illegal,Uncertain,Blocked,"Article 235. (Sale etc. of Obscene Books etc)  # Whoever sells or distributes, imports or prints, or makes for sale or hire or willfully exhibits to public view any obscene writing, book, newspaper, film, gramophone record or similar article, drawing, painting, representation or figure or attempts or offers so to do or has in his possession any such obscene book or other thing for the purpose of sale, distribution or public exhibition, commits an offence and shall on conviction, be punished with imprisonment for a term not exceeding three years or with fine or with both.","[http://opennet.net/research/profiles/sudan ""ONI Country Profile: Sudan""] , OpenNet Initiative, 7 August 2009"
Syria Syria,Illegal,Uncertain,Blocked,Uncertain,
Taiwan Taiwan,Legal,Legal,Legal,Uncertain,
Tanzania Tanzania,Illegal,Uncertain,Uncertain,"Article 175.  # Any person who: <br /> (a) for the purpose of or by way of trade or for the purpose of distribution or public exhibition, makes, produces or has in his possession any one or more obscene writings, drawings, prints, paintings, printed matter, pictures» posters, emblems, photographs, cinematograph -films or any other objects or any other object tending to corrupt morals [...]<br /> : is guilty of a misdemeanour, and is liable, to imprisonment for two years or to a fine of two thousand [[Tanzanian shilling|shillings]].",
Thailand Thailand,Illegal,Illegal,Blocked,"Section 287.  # Whoever for the purpose of trade or by trade, for public distribution or exhibition, makes, produces, possesses, brings or causes to be brought into the Kingdom, sends or causes to be sent out of the Kingdom, takes away or causes to be taken away, or circulates by any means whatever, any document, drawing, print, painting, printed matter, picture, poster, symbol, photograph, cinematograph film, noise tape, picture tape or any other thing which is obscene [...] shall be punished with imprisonment not exceeding three years or fined not exceeding six thousand [[Thai baht|Baht]], or both.",
Togo Togo,Uncertain,Uncertain,Uncertain,Uncertain,
Transnistria Transnistria,Uncertain,Uncertain,Uncertain,,
Tunisia Tunisia,Illegal,Uncertain,Legal,Uncertain,
Turkey Turkey,Restricted,Restricted,Some sites blocked,,
Turkmenistan Turkmenistan,Uncertain,Uncertain,Blocked,Uncertain,
Uganda Uganda,Illegal,Illegal,Some sites blocked,Uncertain,
Ukraine Ukraine,Illegal,Legal,Legal,"Article 301. (Importation, making, sale or distribution of pornographic items)  #  Importation into Ukraine for sale or distribution purposes, or making, transportation or other movement for the same purposes, or sale or distribution of pornographic images or other items, and also compelling others to participate in their making, shall be punishable by a fine of 50 to 100 tax-free minimum incomes, or arrest for a term up to six months, or restraint of liberty for a term up to three years, with the forfeiture of pornographic images or other items and means of their making and distribution.",
UAE United Arab Emirates,Illegal,Illegal,Blocked,Uncertain,
United Kingdom United Kingdom,Restricted,Legal,Restricted,Uncertain,
United States United States,Legal,Legal,Legal,,
Uzbekistan Uzbekistan,Illegal,Uncertain,Uncertain,,
Uruguay Uruguay,Legal,Legal,Legal,,
Vatican City Vatican City,Illegal,Uncertain,Uncertain,Uncertain,
Venezuela Venezuela,Legal,Legal,Some sites blocked,Uncertain,
Vietnam Vietnam,Illegal,May be punished,Blocked,"Article 326. (Distribution pornographic materials)  #  Any person who makes, duplicates, publishes, transports, deals in, or stores books, magazines, pictures, films, music, or other items that contain pornographic contents for the purpose of distributing them or distributes pornographic materials in any of the following cases shall be a fine of from [[Vietnamese đồng|VND]] 10,000,000 to VND 100,000,000 or face a penalty of up to 03 years' community sentence or 06 - 36 months' imprisonment",
Western Sahara Western Sahara,Uncertain,Uncertain,Uncertain,Uncertain,
Yemen Yemen,Illegal,Illegal,Blocked,Uncertain,"[http://opennet.net/research/profiles/yemen ""ONI Country Profile: Yemen""] , OpenNet Initiative, August 2009"
Zambia Zambia,Illegal,Illegal,Legal,"Article 177. (Obscene matters or things)  #  Any person who makes, produces or has in his possession any one or more obscene writings, drawings, prints, paintings, printed matter, pictures, posters, emblems, photographs, cinematograph films or any other object tending to corrupt morals is guilty of a misdemeanour and is liable to imprisonment for five years or to a fine of not less than fifteen thousand penalty units nor more than seventy-five thousand penalty units.",
Zimbabwe Zimbabwe,Uncertain,Uncertain,Legal,Uncertain,
